"","man_hud","cpi","pop_hudson","man_hud_covid","cpi_2020_06","regional_emp","month"
"Jan 2031",3031.022547,352.7122551,734.982371,2999.28679,313.432,9801.439,2031-01-01
"Feb 2031",3032.95443564505,353.335798942948,735.205603783812,3001.3030104787,313.960805860662,9805.81915316259,2031-02-01
"Mar 2031",3034.88799005316,353.982567066059,735.426127723349,3003.30733513519,314.493028127287,9810.27155150166,2031-03-01
"Apr 2031",3036.811462,354.6282038,735.645464,3005.277065,315.026,9814.779,2031-04-01
"May 2031",3038.716713712,355.256332657905,735.864249796396,3007.19758183884,315.557693743524,9819.32853711159,2031-05-01
"Jun 2031",3040.61004921861,355.882493882758,736.079586300123,3009.08659035827,316.088637880961,9823.92413517502,2031-06-01
"Jul 2031",3042.501383,356.5302069,736.2876907,3010.969876,316.62,9828.574,2031-07-01
"Aug 2031",3044.39900813656,357.212972547649,736.486229638009,3012.86780138814,317.152456202274,9833.28347616882,2031-08-01
"Sep 2031",3046.30473210945,357.904217314022,736.678667568755,3014.77903787619,317.684716645168,9838.04646335386,2031-09-01
"Oct 2031",3048.218741,358.5673491,736.8699184,3016.696834,318.215,9842.854,2031-10-01
"Nov 2031",3050.14071133434,359.178273903345,737.063901892309,3018.61594283082,318.742481447377,9847.69648413905,2031-11-01
"Dec 2031",3052.06828141768,359.762890109306,737.260561217452,3020.53713558144,319.270162205037,9852.56175215032,2031-12-01
"Jan 2032",3053.99858,360.3595942,737.4588454,3022.462688,319.802,9857.437,2032-01-01
"Feb 2032",3055.92833860016,360.996078205633,737.657810203867,3024.39263465893,320.34069208229,9862.31103171942,2032-02-01
"Mar 2032",3057.85269981245,361.657216348756,737.856938350328,3026.3180454277,320.883893793945,9867.17908360044,2032-03-01
"Apr 2032",3059.766409,362.3171784,738.0558193,3028.227749,321.428,9872.038,2032-04-01
"May 2032",3061.66447889464,362.958601996342,738.253436399631,3030.11197253344,321.970342816051,9876.88609268695,2032-05-01
"Jun 2032",3063.54299170291,363.597996240118,738.446348540496,3031.96653704112,322.512003359925,9881.72754307758,2032-06-01
"Jul 2032",3065.398297,364.2603381,738.6305085,3033.788662,323.055,9886.568,2032-07-01
"Aug 2032",3067.22988748793,364.960024360847,738.80349374946,3035.57931287395,323.600529246094,9891.41196790311,2032-08-01
"Sep 2032",3069.04982837593,365.669131072256,738.969380535837,3037.35443907449,324.146500173765,9896.25937371889,2032-09-01
"Oct 2032",3070.873328,366.3491541,739.1338698,3039.133736,324.69,9901.109,2032-10-01
"Nov 2032",3072.71217382029,366.974578549155,739.301448384009,3040.93264219296,325.229317977346,9905.96025792278,2032-11-01
"Dec 2032",3074.5644697934,367.571846481973,739.471746734676,3042.74956877205,325.767551500573,9910.81507315801,2032-12-01
"Jan 2033",3076.424899,368.1803892,739.6431812,3044.57867,326.309,9915.676,2033-01-01
"Feb 2033",3078.28858482347,368.828726216605,739.814528636724,3046.41404031717,326.856680326,9920.54451892424,2033-02-01
"Mar 2033",3080.1524118579,369.501729892447,739.98600793657,3048.24953487436,327.408479009132,9925.41781513059,2033-03-01
"Apr 2033",3082.013705,370.1733608,740.1581985,3050.078949,327.961,9930.292,2033-04-01
"May 2033",3083.8689155895,370.826160943681,740.330387795018,3051.8964792791,328.51173849643,9935.16077749135,2033-05-01
"Jun 2033",3085.71100073799,371.47699805565,740.496695559786,3053.6979273231,329.061754685124,9940.00822187521,2033-06-01
"Jul 2033",3087.532044,372.1513213,740.6499496,3055.479496,329.613,9944.816,2033-07-01
"Aug 2033",3089.32806307777,372.863771338298,740.78562104246,3057.24027101086,330.166624947538,9949.57363036959,2033-08-01
"Sep 2033",3091.11081226423,373.585754821994,740.909754298362,3058.99086938881,330.720576324449,9954.30203810934,2033-09-01
"Oct 2033",3092.89598,374.2778699,741.0310371,3060.744791,331.272,9959.03,2033-10-01
"Nov 2033",3094.6958408772,374.914059614234,741.156344009214,3062.51280489968,331.819280231934,9963.78047880806,2033-11-01
"Dec 2033",3096.50901409399,375.521646578601,741.285296906025,3064.29475689945,332.365754831896,9968.553181243,2033-12-01
"Jan 2034",3098.330705,376.1412983,741.4157045,3066.087762,332.916,9973.342,2034-01-01
"Feb 2034",3100.15596882082,376.802481808467,741.545751216981,3067.88784357561,333.47329116176,9978.13963958334,2034-02-01
"Mar 2034",3101.97926028575,377.489862226568,741.67512434791,3069.68665849489,334.035700644266,9982.93405173351,2034-03-01
"Apr 2034",3103.794884,378.1769042,741.8038869,3071.474772,334.6,9987.712,2034-04-01
"May 2034",3105.59713372838,378.845768414859,741.931399885824,3073.24406531637,335.163777343246,9992.46118508077,2034-05-01
"Jun 2034",3107.38025987412,379.513399718833,742.054216339374,3074.99168360247,335.727887035487,9997.17305626743,2034-06-01
"Jul 2034",3109.138502,380.205439,742.1681873,3076.716088,336.294,10001.84,2034-07-01
"Aug 2034",3110.86978126564,380.936462124686,742.270760043427,3078.41831075147,336.862858724513,10006.4612497232,2034-08-01
"Sep 2034",3112.58674521779,381.676784872179,742.365766790889,3080.10966850263,337.431491954531,10011.0634269005,2034-09-01
"Oct 2034",3114.305723,382.385658,742.458636,3081.804049,337.996,10015.68,2034-10-01
"Nov 2034",3116.0392173572,383.036157078984,742.553757829358,3083.51191375181,338.554232203143,10020.3347789894,2034-11-01
"Dec 2034",3117.78442543991,383.656656933196,742.651369241513,3085.23001931296,339.11103403528,10025.0129398344,2034-12-01
"Jan 2035",3119.534718,384.2893572,742.7506689,3086.951696,339.673,10029.69,2035-01-01
"Feb 2035",3121.28374282406,384.965126914928,742.850620290993,3088.6708764635,340.244656907356,10034.3507454303,2035-02-01
"Mar 2035",3123.0262558374,385.669512706152,742.949246191209,3090.38390269,340.822260793241,10039.0170359843,2035-03-01
"Apr 2035",3124.75729,386.3767306,743.0443342,3092.087719,341.4,10043.72,2035-04-01
"May 2035",3126.47238753173,387.067800698338,743.134644180744,3093.77908887565,341.973695722984,10048.4596466969,2035-05-01
"Jun 2035",3128.16912769198,387.750959405163,743.222825052913,3095.45405244557,342.545700569538,10053.111508821,2035-06-01
"Jul 2035",3129.845599,388.4412472,743.312498,3097.108469,343.12,10057.52,2035-07-01
"Aug 2035",3131.49978812308,389.152343747272,743.407089752697,3098.73823399685,343.699078719221,10061.6551122265,2035-08-01
"Sep 2035",3133.12927432062,389.892485450977,743.509249230475,3100.33938756476,344.279418410091,10065.9891509538,2035-09-01
"Oct 2035",3134.731535,390.6685479,743.6214309,3101.908006,344.856,10071.12,2035-10-01
"Nov 2035",3136.30404756864,391.487406683231,743.746089227939,3103.44016559888,345.425804214941,10077.4090099525,2035-11-01
"Dec 2035",3137.84428943396,392.355937389562,743.88567868096,3104.9319426577,345.993810975287,10084.271398475,2035-12-01
"Jan 2036",3139.34973800334,393.281015607877,744.042653725727,3106.37941347275,346.567,10090.88585,2036-01-01
"Feb 2036",3140.81787068421,394.269516927067,744.219468828909,3107.77865434033,347.150185902491,10096.6476664819,2036-02-01
"Mar 2036",3142.24616488398,395.328316936024,744.418578457172,3109.12574155673,347.739522873949,10101.8186199611,2036-03-01
